Wall time,Step,Value
1713971517.6984966,4300,-2500.2353515625
1713971533.9349532,9500,-2606.253662109375
1713971555.2042403,16800,-2681.667724609375
1713971573.741016,23000,-2861.940673828125
1713971575.2363286,23500,-2851.056396484375
1713971586.6522534,27400,-2802.329833984375
1713971598.023011,31100,-2677.541748046875
1713971600.071104,31900,-2647.7666015625
1713971647.0177195,47500,-2611.59033203125
1713971665.208825,53700,-2736.29150390625
1713971678.339133,58000,-2796.99462890625
1713971680.1923416,58700,-2807.192626953125
1713971694.580233,63500,-2772.48193359375
1713971698.2420402,64800,-2800.30322265625
1713971718.555671,71500,-2976.10595703125
1713971746.1163487,80900,-3187.183349609375
1713971808.2288437,101500,-3476.101318359375
1713971823.7095494,106700,-3310.38134765625
1713971903.6387467,133400,-3591.100341796875
1713971904.9759223,133800,-3593.2734375
1713971919.617236,138600,-3341.56884765625
1713971921.5419197,139300,-3264.51611328125
1713971934.7264686,143700,-3010.1298828125
1713972011.014483,169200,-3433.53564453125
1713972023.9907262,173500,-3297.70068359375
1713972024.6889954,173800,-3323.87353515625
1713972066.3670487,187800,-2887.251953125
1713972078.4704158,191800,-2807.368408203125
1713972113.862348,203700,-2660.3193359375
1713972131.5098524,209700,-2592.435546875
1713972161.6879811,220000,-2570.744384765625
1713972179.7687738,226300,-2466.1865234375
1713972192.9339566,230800,-2479.070068359375
1713972217.6952734,239000,-2704.080322265625
1713972231.3820393,243700,-2629.165771484375
1713972245.9711459,248600,-2518.77099609375
1713972246.1708722,248700,-2521.3671875
1713972249.4568937,249900,-2520.689208984375
1713972259.45634,253300,-2509.547607421875
1713972304.5758977,268600,-2723.19287109375
1713972320.6211445,274100,-2741.671875
1713972408.2229261,303900,-2477.35791015625
1713972464.7497675,323100,-2633.94189453125
1713972469.3632476,324700,-2651.775390625
1713972486.55587,330600,-2734.57177734375
1713972578.0594437,361900,-2526.1689453125
1713972578.9222739,362100,-2528.116943359375
1713972593.5277967,367100,-2573.768798828125
1713972614.0577645,374200,-2491.1474609375
1713972635.583329,381500,-2479.827392578125
1713972637.5262446,382200,-2504.431640625
1713972668.1927109,392900,-2550.94189453125
1713972676.5539594,395700,-2545.24560546875
1713972699.8285728,403700,-2471.934326171875
1713972746.297791,419700,-2395.44580078125
1713972781.3282628,431800,-2304.0302734375
1713972805.602082,440100,-2235.931640625
1713972832.1906106,449300,-2195.982666015625
1713972837.4797666,451000,-2267.655517578125
1713972886.121333,467700,-2269.8125
1713972918.229678,478900,-2247.49267578125
1713972971.1501596,497200,-2106.464599609375
1713973010.4001043,510700,-2083.075927734375
1713973018.7738643,513500,-2115.960693359375
1713973081.150164,534600,-2013.994873046875
1713973085.3234813,536000,-2042.8756103515625
1713973141.6434112,555000,-2110.765869140625
1713973179.8140256,568000,-2145.790283203125
